rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
6652,sample_002699,0.93299703,0.96810325,0.88033769,20,0.97703886;0.97690833;0.95036256,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_002699_dinov2_base_adjacent_similarity.csv
6653,sample_011854,0.93299335,0.96995210,0.87755523,20,0.97542077;0.97222620;0.96220934,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_011854_dinov2_base_adjacent_similarity.csv
6654,sample_013255,0.93297747,0.95682101,0.89721216,20,0.96165800;0.96116704;0.94763798,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_013255_dinov2_base_adjacent_similarity.csv
6655,sample_007662,0.93297711,0.98979702,0.84774726,20,0.99076903;0.98953331;0.98908871,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007662_dinov2_base_adjacent_similarity.csv
6656,sample_011723,0.93297485,0.96740220,0.88133383,20,0.97023022;0.96619171;0.96578467,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_011723_dinov2_base_adjacent_similarity.csv
6657,sample_002869,0.93296676,0.97230274,0.87396279,20,0.97866964;0.97686470;0.96137387,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_002869_dinov2_base_adjacent_similarity.csv
6658,sample_012770,0.93295919,0.96730512,0.88144029,20,0.98048174;0.96532983;0.95610380,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012770_dinov2_base_adjacent_similarity.csv
6659,sample_012620,0.93295916,0.96679388,0.88220707,20,0.97224295;0.96947247;0.95866621,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012620_dinov2_base_adjacent_similarity.csv
6660,sample_016040,0.93295438,0.96950215,0.87813273,20,0.97447646;0.96995854;0.96407145,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_016040_dinov2_base_adjacent_similarity.csv
6661,sample_013182,0.93293846,0.96303129,0.88779921,20,0.97436893;0.95972133;0.95500362,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_013182_dinov2_base_adjacent_similarity.csv
6662,sample_005210,0.93292824,0.97797708,0.86535498,20,0.98268521;0.97948146;0.97176456,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005210_dinov2_base_adjacent_similarity.csv
6663,sample_007742,0.93292741,0.96230225,0.88886514,20,0.97611147;0.95554054;0.95525473,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007742_dinov2_base_adjacent_similarity.csv
6664,sample_008408,0.93291727,0.96520736,0.88448213,20,0.97498214;0.96077633;0.95986360,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008408_dinov2_base_adjacent_similarity.csv
6665,sample_002743,0.93291717,0.96362734,0.88685192,20,0.97409415;0.96074998;0.95603788,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_002743_dinov2_base_adjacent_similarity.csv
6666,sample_000503,0.93291700,0.99715517,0.83655974,20,0.99811411;0.99714726;0.99620414,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000503_dinov2_base_adjacent_similarity.csv
6667,sample_006570,0.93290274,0.97216757,0.87400548,20,0.97422624;0.97359383;0.96868265,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006570_dinov2_base_adjacent_similarity.csv
