sample,score_top5_mean,num_pairs,top_values,csv_path
sample_000660,0.99447481,20,0.99630868;0.99625826;0.99579954;0.99433970;0.98966789,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000660_dinov2_base_adjacent_similarity.csv
sample_009566,0.99446485,20,0.99596232;0.99496400;0.99396580;0.99385983;0.99357229,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009566_dinov2_base_adjacent_similarity.csv
sample_009742,0.99446243,20,0.99530160;0.99506164;0.99463916;0.99423474;0.99307501,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009742_dinov2_base_adjacent_similarity.csv
sample_009564,0.99445136,20,0.99594355;0.99573559;0.99559742;0.99256766;0.99241257,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009564_dinov2_base_adjacent_similarity.csv
sample_009722,0.99444843,20,0.99612272;0.99489725;0.99454302;0.99344653;0.99323261,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009722_dinov2_base_adjacent_similarity.csv
sample_009729,0.99443782,20,0.99562395;0.99508011;0.99426138;0.99364084;0.99358284,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009729_dinov2_base_adjacent_similarity.csv
sample_000054,0.99443318,20,0.99627978;0.99426794;0.99399543;0.99396443;0.99365830,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000054_dinov2_base_adjacent_similarity.csv
sample_009819,0.99442270,20,0.99624330;0.99435502;0.99412233;0.99373680;0.99365604,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009819_dinov2_base_adjacent_similarity.csv
sample_009823,0.99441805,20,0.99503243;0.99472952;0.99442160;0.99407792;0.99382877,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009823_dinov2_base_adjacent_similarity.csv
sample_009716,0.99440684,20,0.99579978;0.99530077;0.99500561;0.99333346;0.99259460,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009716_dinov2_base_adjacent_similarity.csv
sample_009568,0.99439575,20,0.99548244;0.99457335;0.99444687;0.99374741;0.99372870,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009568_dinov2_base_adjacent_similarity.csv
sample_009616,0.99438553,20,0.99611670;0.99580532;0.99523413;0.99278826;0.99198323,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009616_dinov2_base_adjacent_similarity.csv
sample_009747,0.99438253,20,0.99516428;0.99498296;0.99480855;0.99397111;0.99298573,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009747_dinov2_base_adjacent_similarity.csv
sample_009738,0.99437919,20,0.99525160;0.99469155;0.99437797;0.99411583;0.99345899,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009738_dinov2_base_adjacent_similarity.csv
sample_009754,0.99437333,20,0.99584496;0.99581832;0.99446684;0.99311870;0.99261785,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009754_dinov2_base_adjacent_similarity.csv
sample_009623,0.99436632,20,0.99754769;0.99667972;0.99396527;0.99241382;0.99122512,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009623_dinov2_base_adjacent_similarity.csv
sample_002638,0.99434171,20,0.99603534;0.99521750;0.99485070;0.99365771;0.99194729,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_002638_dinov2_base_adjacent_similarity.csv
sample_009693,0.99433987,20,0.99492073;0.99475718;0.99473453;0.99469435;0.99259257,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009693_dinov2_base_adjacent_similarity.csv
sample_009816,0.99432334,20,0.99643135;0.99468374;0.99371964;0.99350524;0.99327672,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009816_dinov2_base_adjacent_similarity.csv
sample_000618,0.99431727,20,0.99613774;0.99494934;0.99455142;0.99409014;0.99185771,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000618_dinov2_base_adjacent_similarity.csv
sample_012976,0.99431436,20,0.99688292;0.99661332;0.99548221;0.99153435;0.99105901,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012976_dinov2_base_adjacent_similarity.csv
sample_009811,0.99430177,20,0.99473071;0.99471575;0.99454921;0.99402344;0.99348974,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009811_dinov2_base_adjacent_similarity.csv
sample_000036,0.99430149,20,0.99725896;0.99600279;0.99450964;0.99369621;0.99003983,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000036_dinov2_base_adjacent_similarity.csv
